time	V(n001)	V(n003)
5.000010459130604e-04	4.770435e+00	5.000000e+00
5.000010918261208e-04	4.540869e+00	5.000000e+00
5.000011377391812e-04	4.311304e+00	5.000000e+00
5.000011836522417e-04	4.081739e+00	5.000000e+00
5.000012295653020e-04	3.852173e+00	5.000000e+00
5.000012754783625e-04	3.622608e+00	5.000000e+00
5.000013213914228e-04	3.393043e+00	5.000000e+00
5.000016294124963e-04	1.852937e+00	5.000000e+00
5.000020000000000e-04	0.000000e+00	5.000000e+00
5.000453640320422e-04	0.000000e+00	4.999341e+00
5.000887280640845e-04	0.000000e+00	4.997652e+00
5.001320920961267e-04	0.000000e+00	4.994934e+00
5.001754561281688e-04	0.000000e+00	4.991186e+00
5.002188201602110e-04	0.000000e+00	4.986410e+00
5.002621841922533e-04	0.000000e+00	4.980603e+00
5.003055482242954e-04	0.000000e+00	4.973768e+00
5.006091335073412e-04	0.000000e+00	4.904458e+00
5.012163040734327e-04	0.000000e+00	4.684416e+00
5.021768781283576e-04	0.000000e+00	4.215658e+00
5.031534406283576e-04	0.000000e+00	3.661529e+00
5.041300031283576e-04	0.000000e+00	3.089154e+00
5.051065656283576e-04	0.000000e+00	2.547741e+00
5.060831281283576e-04	0.000000e+00	2.062725e+00
5.070596906283576e-04	0.000000e+00	1.644136e+00
5.080362531283576e-04	0.000000e+00	1.292733e+00
5.090128156283576e-04	0.000000e+00	1.004069e+00
5.099893781283576e-04	0.000000e+00	7.711335e-01
5.109659406283576e-04	0.000000e+00	5.859990e-01
5.119425031283576e-04	0.000000e+00	4.408035e-01
5.129190656283576e-04	0.000000e+00	3.282911e-01
5.138956281283576e-04	0.000000e+00	2.420672e-01
5.148721906283576e-04	0.000000e+00	1.766789e-01
5.158487531283576e-04	0.000000e+00	1.275907e-01
5.168253156283576e-04	0.000000e+00	9.110462e-02
5.178018781283576e-04	0.000000e+00	6.425561e-02
5.187784406283576e-04	0.000000e+00	4.469996e-02
5.197550031283576e-04	0.000000e+00	3.060864e-02
5.207315656283576e-04	0.000000e+00	2.057073e-02
5.217081281283576e-04	0.000000e+00	1.350957e-02
5.226846906283576e-04	0.000000e+00	8.611991e-03
5.236612531283576e-04	0.000000e+00	5.269973e-03
5.246378156283576e-04	0.000000e+00	3.033377e-03
5.256143781283576e-04	0.000000e+00	1.572308e-03
5.265909406283576e-04	0.000000e+00	6.292434e-04
5.273342430795759e-04	0.000000e+00	1.674525e-04
5.280129474124554e-04	0.000000e+00	-1.022931e-04
5.286923023278164e-04	0.000000e+00	-2.735971e-04
5.294676803104552e-04	0.000000e+00	-3.873308e-04
5.302609023711669e-04	0.000000e+00	-4.456436e-04
5.308022799525682e-04	0.000000e+00	-4.583861e-04
5.313877237559833e-04	0.000000e+00	-4.532547e-04
5.319808862691802e-04	0.000000e+00	-4.357627e-04
5.329009056610605e-04	0.000000e+00	-3.951826e-04
5.338474306931233e-04	0.000000e+00	-3.459406e-04
5.348239931931233e-04	0.000000e+00	-2.928708e-04
5.358005556931233e-04	0.000000e+00	-2.422291e-04
5.367771181931233e-04	0.000000e+00	-1.965783e-04
5.387302431931233e-04	0.000000e+00	-1.236681e-04
5.397068056931233e-04	0.000000e+00	-9.620926e-05
5.406833681931233e-04	0.000000e+00	-7.400094e-05
